Year,Region,Period,Population
1950,Africa,Past,225120311
1955,Africa,Past,250996982
1960,Africa,Past,280903431
1965,Africa,Past,317406226
1970,Africa,Past,360671324
1975,Africa,Past,411631597
1980,Africa,Past,474765018
1985,Africa,Past,547785817
1990,Africa,Past,629698822
1995,Africa,Past,715094433
2000,Africa,Past,808870908
2005,Africa,Past,916192532
2010,Africa,Past,1041484014
2015,Africa,Past,1185462534
2020,Africa,Past,1344069830
2025,Africa,Future,1512428655
2030,Africa,Future,1692186171
2035,Africa,Future,1880099247
2040,Africa,Future,2073830812
2045,Africa,Future,2270126162
2050,Africa,Future,2465754850
2055,Africa,Future,2657438687
2060,Africa,Future,2842982261
2065,Africa,Future,3020948829
2070,Africa,Future,3189577699
2075,Africa,Future,3346895592
2080,Africa,Future,3490825089
2085,Africa,Future,3620869142
2090,Africa,Future,3735552232
2095,Africa,Future,3834301844
2100,Africa,Future,3917076934
1950,Asia,Past,1365952997
1955,Asia,Past,1515565885
1960,Asia,Past,1687109645
1965,Asia,Past,1878936957
1970,Asia,Past,2119694222
1975,Asia,Past,2372414663
1980,Asia,Past,2610304951
1985,Asia,Past,2881942971
1990,Asia,Past,3180894355
1995,Asia,Past,3458387205
2000,Asia,Past,3710927693
2005,Asia,Past,3956347487
2010,Asia,Past,4196968511
2015,Asia,Past,4437208643
2020,Asia,Past,4647857977
2025,Asia,Future,4800868175
2030,Asia,Future,4945652427
2035,Asia,Future,5068063483
2040,Asia,Future,5167563222
2045,Asia,Future,5242999222
2050,Asia,Future,5290144616
2055,Asia,Future,5305546526
2060,Asia,Future,5292608743
2065,Asia,Future,5258873985
2070,Asia,Future,5210000263
2075,Asia,Future,5147795514
2080,Asia,Future,5071617956
2085,Asia,Future,4983305906
2090,Asia,Future,4887774117
2095,Asia,Future,4788187592
2100,Asia,Future,4684822376
1950,Europe,Past,547304279
1955,Europe,Past,573464682
1960,Europe,Past,602648649
1965,Europe,Past,631751228
1970,Europe,Past,654744742
1975,Europe,Past,674953289
1980,Europe,Past,691839825
1985,Europe,Past,706184689
1990,Europe,Past,720335312
1995,Europe,Past,727214979
2000,Europe,Past,726920484
2005,Europe,Past,728614943
2010,Europe,Past,735650133
2015,Europe,Past,741540030
2020,Europe,Past,746597458
2025,Europe,Future,741375665
2030,Europe,Future,737128937
2035,Europe,Future,730926535
2040,Europe,Future,723336520
2045,Europe,Future,714567963
2050,Europe,Future,704171538
2055,Europe,Future,691708083
2060,Europe,Future,677689169
2065,Europe,Future,663330814
2070,Europe,Future,649626629
2075,Europe,Future,636988568
2080,Europe,Future,625394563
2085,Europe,Future,614732992
2090,Europe,Future,604963806
2095,Europe,Future,595955377
2100,Europe,Future,587361537
1950,LAC,Past,166137383
1955,LAC,Past,189384027
1960,LAC,Past,216712725
1965,LAC,Past,248706117
1970,LAC,Past,283011868
1975,LAC,Past,319257004
1980,LAC,Past,358347441
1985,LAC,Past,398145939
1990,LAC,Past,438384266
1995,LAC,Past,479414859
2000,LAC,Past,518770743
2005,LAC,Past,554587278
2010,LAC,Past,587263897
2015,LAC,Past,619929407
2020,LAC,Past,649524000
2025,LAC,Future,672441678
2030,LAC,Future,695480218
2035,LAC,Future,714990391
2040,LAC,Future,730528985
2045,LAC,Future,741696624
2050,LAC,Future,748715280
2055,LAC,Future,751720943
2060,LAC,Future,751009310
2065,LAC,Future,746886993
2070,LAC,Future,739414588
2075,LAC,Future,728888550
2080,LAC,Future,715742082
2085,LAC,Future,700607735
2090,LAC,Future,684140809
2095,LAC,Future,666846122
2100,LAC,Future,649177439
1950,Northern America,Past,160753800
1955,Northern America,Past,175268610
1960,Northern America,Past,192535185
1965,Northern America,Past,208152254
1970,Northern America,Past,220267702
1975,Northern America,Past,233343291
1980,Northern America,Past,246253019
1985,Northern America,Past,259775568
1990,Northern America,Past,273952033
1995,Northern America,Past,293278155
2000,Northern America,Past,311469766
2005,Northern America,Past,327602788
2010,Northern America,Past,343792923
2015,Northern America,Past,359036074
2020,Northern America,Past,373272249
2025,Northern America,Future,382111788
2030,Northern America,Future,392312390
2035,Northern America,Future,401771065
2040,Northern America,Future,409860407
2045,Northern America,Future,416232672
2050,Northern America,Future,421000981
2055,Northern America,Future,424695664
2060,Northern America,Future,428240371
2065,Northern America,Future,432066142
2070,Northern America,Future,436041100
2075,Northern America,Future,439591078
2080,Northern America,Future,442256411
2085,Northern America,Future,444059761
2090,Northern America,Future,445403539
2095,Northern America,Future,446638480
2100,Northern America,Future,447907090
1950,Oceania,Past,12405962
1955,Oceania,Past,13971517
1960,Oceania,Past,15679577
1965,Oceania,Past,17423322
1970,Oceania,Past,19209199
1975,Oceania,Past,21388504
1980,Oceania,Past,22759399
1985,Oceania,Past,24528870
1990,Oceania,Past,26495564
1995,Oceania,Past,28671131
2000,Oceania,Past,30982434
2005,Oceania,Past,33537875
2010,Oceania,Past,36791782
2015,Oceania,Past,40063352
2020,Oceania,Past,43652259
2025,Oceania,Future,46375138
2030,Oceania,Future,48963186
2035,Oceania,Future,51380340
2040,Oceania,Future,53627507
2045,Oceania,Future,55721994
2050,Oceania,Future,57652764
2055,Oceania,Future,59402666
2060,Oceania,Future,60992592
2065,Oceania,Future,62436554
2070,Oceania,Future,63751487
2075,Oceania,Future,64919998
2080,Oceania,Future,65910540
2085,Oceania,Future,66737003
2090,Oceania,Future,67434886
2095,Oceania,Future,68070784
2100,Oceania,Future,68657041